ProjectCode,NameProject,SerialNumber,GhabzExit,FactorNumber,FactorType3,KarshenasiAvalie,ReceiverProject,Description,Id,Employer,DateKhoroj,DateVorod,FileDate,DeliveryDate,DateMovaqatExit,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe,FactorType
1311,ژنراتور 20KW,,,,,سیم پیچی,,,312,29,2019-08-16 00:00:00.000,2019-07-22 00:00:00.000,,,,,,,,False,
1312,ژنراتور 20KW,,,,,سیم پیچی,,,313,29,2019-08-16 00:00:00.000,2019-07-25 00:00:00.000,,,,,,,,False,
1313,ژنراتور 20KW,,,,,سیم پیچی,,,314,29,2019-08-16 00:00:00.000,2019-07-25 00:00:00.000,,,,,,,,False,
1314,ژنراتور 20KW,,,,,سیم پیچی,,,315,29,2019-08-16 00:00:00.000,2019-07-25 00:00:00.000,,,,,,,,False,
1315,ژنراتور 18KW,,,,,سیم پیچی,,,316,29,2019-08-16 00:00:00.000,2019-08-04 00:00:00.000,,,,,,,,False,
1316,ژنراتور 18KW,,,,,سیم پیچی,,,317,29,2019-08-16 00:00:00.000,2019-08-04 00:00:00.000,,,,,,,,False,
1317,ژنراتور 18KW,,,,,سیم پیچی,,,318,29,2019-08-16 00:00:00.000,2019-08-04 00:00:00.000,,,,,,,,False,
1318,ژنراتور 20KW,,,,,سیم پیچی,,,319,29,2019-08-16 00:00:00.000,2019-08-04 00:00:00.000,,,,,,,,False,
1319,ترانس 50KVA,,,,,اورهال,,,320,51,2019-12-30 00:00:00.000,2019-08-28 00:00:00.000,,,,,,,,False,
1320,ترانس 50KVA,,,,,اورهال,,,321,51,2019-12-30 00:00:00.000,2019-08-28 00:00:00.000,,,,,,,,False,
1321,ترانس 50KVA,,,,,اورهال,,,322,51,2020-12-29 00:00:00.000,2019-08-28 00:00:00.000,,,,,,,,False,
1322,ترانس 100KVA,,,,,سیم پیچی,,,323,51,2019-12-30 00:00:00.000,2019-08-28 00:00:00.000,,,,,,,,False,
1323,الکتروموتور 30KW DC,,,,,سیم پیچی,,,324,52,2019-11-11 00:00:00.000,2019-09-11 00:00:00.000,,,,,,,,False,
1324,الکتروموتور ABB 250KW,,,,,اورهال,,,325,39,2019-09-18 00:00:00.000,2019-09-16 00:00:00.000,,,,,,,,False,
1325,الکتروموتور ABB 250KW,,,,,سیم پیچی,,,326,39,2020-05-19 00:00:00.000,2019-09-16 00:00:00.000,,,,,,,,False,
1326,آرمیچر 18KW,,,,,سیم پیچی,,,327,53,2020-01-18 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1327,قطب رتور کمکی,,,,,سیم پیچی,,,328,53,2019-12-24 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1328,قطب رتور کمکی,,,,,سیم پیچی,,,329,53,2019-10-17 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1329,قطب رتور کمکی,,,,,سیم پیچی,,,330,53,2019-10-17 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1330,قطب رتور کمکی,,,,,سیم پیچی,,,331,53,2019-12-24 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1331,قطب رتور کمکی,,,,,سیم پیچی,,,332,53,2019-11-16 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1332,قطب رتور اصلی,,,,,سیم پیچی,,,333,53,2019-11-16 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1333,قطب رتور اصلی,,,,,سیم پیچی,,,334,53,2022-02-19 00:00:00.000,2019-09-17 00:00:00.000,,,2019-11-16,,,,,False,
1334,استاتور فن آب,,,,,سیم پیچی,,,335,53,2019-10-17 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1335,استاتور فن آب,,,,,سیم پیچی,,,336,53,2019-10-17 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1336,استاتور فن آب,,,,,سیم پیچی,,,337,53,2019-10-17 00:00:00.000,2019-09-17 00:00:00.000,,,,,,,,False,
1337,الکتروموتور 315KW,,,,,اورهال,,,338,39,2019-10-07 00:00:00.000,2019-10-06 00:00:00.000,,,,,,,,False,
1338,دستگاه جوش CO2,,,,,اورهال,,,339,44,2019-11-16 00:00:00.000,2019-10-06 00:00:00.000,,,,,,,,False,
1339,دینام جوش,,,,,اورهال,,,340,44,2019-11-16 00:00:00.000,2019-10-06 00:00:00.000,,,,,,,,False,
2587,الکتروموتور آرمیچر 93.1kw-1920rpm-221A-460V,,,789,,سیم پیچی,,,11591,13,2026-05-09 00:00:00.000,2026-04-06 00:00:00.000,,,,106,28,2026-04-08 17:41:12.753,,True,5
2588,استاتور آلستوم,0088,,792,,سیم پیچی,,,11592,58,2026-05-09 00:00:00.000,2026-04-07 00:00:00.000,,,,106,28,2026-04-08 17:41:45.943,,True,5
